供货点,产品类型,产品条目,最低店铺等级,商品Tag,基础价格（进货）,,,,,,
人间之里供货,农作物,大豆,1,食材,100,,,,,,
人间之里供货,农作物,大米,1,食材,100,,,,,,
人间之里供货,农作物,小麦,1,食材,100,,,,,,
人间之里供货,农作物,苹果,1,食品,100,,,,,,
人间之里供货,农作物,香蕉,1,食品,100,,,,,,
人间之里供货,农作物,梨,1,食品,100,,,,,,
人间之里供货,农作物,葱,1,厨房材料,100,,,,,,
人间之里供货,农作物,姜,1,厨房材料,100,,,,,,
人间之里供货,农作物,蒜,1,厨房材料,100,,,,,,
人间之里供货,农作物,纳豆,1,食材,100,,,,,,
人间之里供货,农作物,青椒,1,食材,100,,,,,,
人间之里供货,农作物,葡萄,1,食品,100,,,,,,
人间之里供货,农作物,西红柿,1,食材,100,,,,,,
人间之里供货,农作物,红枣,1,食品,100,,,,,,
人间之里供货,农作物,桃子,1,食品,100,,,,,,
人间之里供货,农作物,草莓,1,食品,100,,,,,,
人间之里供货,农作物,玉米,1,食材,100,,,,,,
人间之里供货,农作物,木耳,1,食材,100,,,,,,
人间之里供货,农作物,柿饼,1,食品,100,,,,,,
人间之里供货,农作物,花生,1,食材,100,,,,,,
人间之里供货,农作物,茄子,1,食材,100,,,,,,
人间之里供货,农作物,菠菜,1,食材,100,,,,,,
人间之里供货,农作物,西瓜,1,食品,100,,,,,,
人间之里供货,农作物,哈密瓜,1,食品,100,,,,,,
人间之里供货,农作物,苦瓜,1,食材,100,,,,,,
人间之里供货,农作物,葡萄干,1,食品,100,,,,,,
人间之里供货,农作物,果脯,1,食品,100,,,,,,
人间之里供货,农作物,榴莲,1,食品,100,,,,,,
人间之里供货,农作物,黄瓜,1,食材,100,,,,,,
人间之里供货,农作物,新鲜牛奶,1,食品,100,,,,,,
人间之里供货,农作物,枸杞,1,"厨房材料,药材",100,,,,,,
人间之里供货,农作物,鲜姜,1,厨房材料,100,,,,,,
人间之里供货,农作物,樱桃,1,食品,100,,,,,,
人间之里供货,农作物,糯米,1,食材,100,,,,,,
人间之里供货,农作物,青稞,1,食材,100,,,,,,
人间之里供货,农作物,红薯,1,食材,100,,,,,,
人间之里供货,农作物,茶叶,1,食品,150,,,,,,
人间之里供货,农作物,慧音改良橄榄,1,食材,150,,,,,,
人间之里供货,农作物,大小惊人的蚕豆,1,食材,80,,,,,,
人间之里供货,农作物,长的很快的韭菜,1,食材,100,,,,,,
人间之里供货,农作物,嫦娥改良的胡萝卜,1,食材,150,,,,,,
人间之里供货,农作物,辉针城密植圆形水果,1,食材,80,,,,,,
人间之里供货,农作物,香霖堂腰果,1,食材,100,,,,,,
人间之里供货,农作物,钢盔椰子,1,食品,120,,,,,,
人间之里供货,农作物,防弹核桃,1,食品,120,,,,,,
人间之里供货,农作物,无孔莲藕,1,食材,120,,,,,,
人间之里供货,农作物,红雾大白菜,1,食材,120,,,,,,
人间之里供货,农作物,可食用樱花,1,食材,120,,,,,,
人间之里供货,农作物,人里羊肉,1,食材,80,,,,,,
人间之里供货,农作物,人里牛肉,1,食材,80,,,,,,
人间之里供货,农作物,人里鸡肉,1,食材,50,,,,,,
人间之里供货,农作物,人里风干肠,1,食材,50,,,,,,
人间之里供货,农作物,人里老母鸡蛋,1,食材,20,,,,,,
人间之里供货,农作物,外界来的葵花籽,1,食材,150,,,,,,
人间之里供货,农作物,东人里广植高粱,1,食材,80,,,,,,
人间之里供货,农作物,人里传统咸菜,1,食材,50,,,,,,
人间之里供货,农作物,幽谷子,1,食材,100,,,,,,
人间之里供货,农作物,无烤烟叶,1,厨房材料,120,,,,,,
人间之里供货,农作物,北人里广植白豆,1,食材,80,,,,,,
人间之里供货,农作物,巨麻花椒,1,厨房材料,120,,,,,,
人间之里供货,农作物,满水荔枝,1,食品,120,,,,,,
人间之里供货,农作物,北人里广植包菜,1,食材,80,,,,,,
人间之里供货,农作物,油库里牧草,1,食材,80,,,,,,
人间之里供货,农作物,芦苇之根,1,食材,120,,,,,,
人间之里供货,农作物,命莲寺特产芝麻,1,食材,120,,,,,,
人间之里供货,农作物,金碧辉煌黄花菜,1,食材,120,,,,,,
人间之里供货,农作物,护法棉花,1,制造材料,120,,,,,,
人间之里供货,农作物,西人里广植剑麻,1,制造材料,80,,,,,,
人间之里供货,农作物,甜心莲子,1,食品,120,,,,,,
人间之里供货,农作物,冬季无花果,1,食品,120,,,,,,
人间之里供货,农作物,有顶天特产燕麦,1,食材,120,,,,,,
人间之里供货,原材料,酒糟,1,厨房材料,200,,,,,,
人间之里供货,原材料,酵母,1,厨房材料,200,,,,,,
人间之里供货,原材料,酱油,1,厨房材料,200,,,,,,
人间之里供货,原材料,味增,1,厨房材料,200,,,,,,
人间之里供货,原材料,花生油,1,厨房材料,200,,,,,,
人间之里供货,原材料,醋,1,厨房材料,200,,,,,,
人间之里供货,原材料,盐,1,厨房材料,200,,,,,,
人间之里供货,原材料,白砂糖,1,厨房材料,200,,,,,,
人间之里供货,原材料,冰糖,1,厨房材料,200,,,,,,
人间之里供货,原材料,麦芽糖,1,厨房材料,200,,,,,,
人间之里供货,原材料,面粉,1,厨房材料,200,,,,,,
人间之里供货,原材料,毛玉绒毛,1,制造材料,120,,,,,,
人间之里供货,原材料,木柴,1,制造材料,80,,,,,,
人间之里供货,原材料,果酱,1,厨房材料,200,,,,,,
人间之里供货,原材料,沙拉酱,1,厨房材料,200,,,,,,
人间之里供货,原材料,布料,1,制造材料,200,,,,,,
人间之里供货,原材料,蚕丝,1,制造材料,200,,,,,,
人间之里供货,原材料,黑色的鸟毛,1,制造材料,120,,,,,,
人间之里供货,原材料,秋静叶糯米粉,1,厨房材料,200,,,,,,
人间之里供货,原材料,秋瓤子白薯粉,1,厨房材料,200,,,,,,
人间之里供货,原材料,玉米粉,1,厨房材料,200,,,,,,
人间之里供货,原材料,人里羊毛,1,制造材料,200,,,,,,
人间之里供货,原材料,莉莉白遗留花瓣,1,制造材料,2000,,,,,,
人间之里供货,原材料,神灵庙桃木,1,制造材料,500,,,,,,
人间之里供货,原材料,命莲寺香木,1,制造材料,500,,,,,,
人间之里供货,原材料,蒲扇叶子,1,制造材料,200,,,,,,
人间之里供货,原材料,墙根浮土,1,制造材料,50,,,,,,
人间之里供货,原材料,百家布,1,制造材料,80,,,,,,
人间之里供货,原材料,人里棉纱,1,制造材料,200,,,,,,
人间之里供货,原材料,人里奶油,1,厨房材料,200,,,,,,
人间之里供货,原材料,可可豆,1,厨房材料,200,,,,,,
人间之里供货,原材料,炼乳,1,厨房材料,200,,,,,,
人间之里供货,原材料,黄油,1,厨房材料,200,,,,,,
人间之里供货,原材料,面包糠,1,厨房材料,120,,,,,,
人间之里供货,原材料,毛玉兽皮,1,制造材料,200,,,,,,
人间之里供货,原材料,油库里兽皮,1,制造材料,200,,,,,,
人间之里供货,原材料,野兽饰品,1,制造材料,200,,,,,,
人间之里供货,原材料,不知道是什么东西的兽皮,1,制造材料,120,,,,,,
人间之里供货,原材料,天然蜂蜜,1,厨房材料,200,,,,,,
人间之里供货,原材料,香米虫胶,1,制造材料,300,,,,,,
人间之里供货,原材料,咕咕咕的羽毛,1,制造材料,400,,,,,,
人间之里供货,原材料,甲鱼的壳,1,制造材料,250,,,,,,
人间之里供货,原材料,天狗软毛,1,制造材料,1000,,,,,,
人间之里供货,原材料,白玉楼西行妖花瓣,1,制造材料,1000,,,,,,
人间之里供货,日用品,浮世绘,2,家用摆件,500,,,,,,
人间之里供货,日用品,团扇,2,实用百货,40,,,,,,
人间之里供货,日用品,折扇,2,实用百货,60,,,,,,
人间之里供货,日用品,发簪,2,实用百货,120,,,,,,
人间之里供货,日用品,针线盒,2,实用百货,150,,,,,,
人间之里供货,日用品,茶具,2,实用百货,200,,,,,,
人间之里供货,日用品,杯具,2,实用百货,200,,,,,,
人间之里供货,日用品,洗具,2,实用百货,200,,,,,,
人间之里供货,日用品,白纸,2,"实用百货,文具",20,,,,,,
人间之里供货,日用品,书写用品,2,"实用百货,文具",20,,,,,,
人间之里供货,日用品,草帽,2,农用装备,10,,,,,,
人间之里供货,日用品,肥皂,2,实用百货,5,,,,,,
人间之里供货,日用品,麻绳,2,实用百货,5,,,,,,
人间之里供货,日用品,镜子,2,实用百货,50,,,,,,
人间之里供货,日用品,颜料,2,实用百货,60,,,,,,
人间之里供货,日用品,胭脂,2,实用百货,150,,,,,,
人间之里供货,日用品,水粉,2,实用百货,120,,,,,,
人间之里供货,日用品,罪袋,2,实用百货,1,,,,,,
人间之里供货,日用品,雨伞,2,实用百货,100,,,,,,
人间之里供货,日用品,个人取暖用八卦炉,2,实用百货,1500,,,,,,
人间之里供货,日用品,罐装萤火虫提灯,2,实用百货,500,,,,,,
人间之里供货,日用品,木头边框眼镜,2,实用百货,180,,,,,,
人间之里供货,日用品,祈福木签,2,实用百货,200,,,,,,
人间之里供货,日用品,稗田氏改良织布机,2,工具,2000,,,,,,
人间之里供货,日用品,家庭烧水用八卦炉,2,实用百货,1000,,,,,,
人间之里供货,日用品,解暑用白玉楼罐装幽灵,2,实用百货,1500,,,,,,
人间之里供货,工具,铲子,3,农具,300,,,,,,
人间之里供货,工具,斧子,3,农具,500,,,,,,
人间之里供货,工具,锄子,3,农具,250,,,,,,
人间之里供货,工具,叉子,3,农具,200,,,,,,
人间之里供货,工具,锤子,3,农具,150,,,,,,
人间之里供货,工具,钓鱼用具,3,农具,400,,,,,,
人间之里供货,工具,皮鞭,3,实用百货,300,,,,,,
人间之里供货,工具,蜡烛,3,实用百货,20,,,,,,
人间之里供货,工具,铜炼门锁,3,实用百货,200,,,,,,
人间之里供货,工具,仿外界制切菜刀,3,实用百货,300,,,,,,
人间之里供货,工具,渔夫的叉鱼鱼叉,3,农具,500,,,,,,
人间之里供货,工艺品,风筝,4,玩具,300,,,,,,
人间之里供货,工艺品,笛子,4,玩具,300,,,,,,
人间之里供货,工艺品,木琴,4,玩具,500,,,,,,
人间之里供货,工艺品,面具,4,玩具,100,,,,,,
人间之里供货,工艺品,小风车,4,玩具,50,,,,,,
人间之里供货,工艺品,泥人雕塑,4,家用摆件,500,,,,,,
人间之里供货,工艺品,人里彩绘,4,家用摆件,500,,,,,,
人间之里供货,工艺品,天狗假面,4,玩具,600,,,,,,
人间之里供货,工艺品,博丽款蝴蝶结,4,玩具,2000,,,,,,
人间之里供货,工艺品,守矢蛙饰,4,玩具,1600,,,,,,
人间之里供货,工艺品,香霖堂的水晶球,4,家用摆件,1500,,,,,,
人间之里供货,工艺品,超女子力头绳,4,玩具,1000,,,,,,
人间之里供货,工艺品,绯想天则模型,4,"玩具,家用摆件",1500,,,,,,
人间之里供货,工艺品,小型佛像,4,家用摆件,800,,,,,,
人间之里供货,工艺品,河道珍珠,4,高级工艺品,2000,,,,,,
人间之里供货,食品,苹果糖,5,零食,50,,,,,,
人间之里供货,食品,青蛙硬糖,5,零食,60,,,,,,
人间之里供货,食品,十三串粒糖葫芦,5,零食,100,,,,,,
人间之里供货,食品,慧音改良寿司,5,食品,200,,,,,,
人间之里供货,食品,粉色年糕,5,食品,120,,,,,,
人间之里供货,食品,日式拉面,5,食品,150,,,,,,
人间之里供货,食品,坚硬的巧克力,5,零食,80,,,,,,
人间之里供货,食品,新鲜酸奶,5,零食,200,,,,,,
人间之里供货,食品,仿作沙拉,5,食品,150,,,,,,
人间之里供货,食品,传统蛋卷,5,食品,120,,,,,,
人间之里供货,食品,加糖面包,5,零食,100,,,,,,
人间之里供货,食品,日本馒头,5,食品,100,,,,,,
人间之里供货,食品,外卖鳗鱼饭,5,食品,250,,,,,,
人间之里供货,食品,夜宵天妇罗,5,食品,250,,,,,,
人间之里供货,食品,香霖混合果汁,5,零食,350,,,,,,
人间之里供货,食品,早苗手作月饼,5,零食,350,,,,,,
人间之里供货,食品,白玉楼樱花糕点,5,零食,400,,,,,,
人间之里供货,食品,命莲寺的香火糖,5,零食,300,,,,,,
人间之里供货,衣服,草鞋,6,"农用装备,武装装备",100,,,,,,
人间之里供货,衣服,不漏腋巫女服,6,"衣服,职业装束",800,,,,,,
人间之里供货,衣服,蓝色风祝服,6,"衣服,职业装束",750,,,,,,
人间之里供货,衣服,灯笼裤,6,衣服,250,,,,,,
人间之里供货,衣服,ZUN帽,6,衣服,1000,,,,,,
人间之里供货,衣服,超王道蓝白胖次,6,衣服,1000,,,,,,
人间之里供货,衣服,竹线布料和服,6,衣服,500,,,,,,
人间之里供货,衣服,标准型水手服,6,衣服,700,,,,,,
人间之里供货,衣服,马仔裤,6,衣服,450,,,,,,
人间之里供货,衣服,免洗武士服,6,"衣服,职业装束",600,,,,,,
人间之里供货,衣服,命莲寺道袍,6,"衣服,职业装束",250,,,,,,
人间之里供货,衣服,神灵庙道袍,6,"衣服,职业装束",300,,,,,,
人间之里供货,衣服,寺子屋学生小黄帽,6,衣服,200,,,,,,
人间之里供货,衣服,大红新年棉袄,6,衣服,1000,,,,,,
人间之里供货,衣服,桃木木屐,6,衣服,200,,,,,,
人间之里供货,衣服,白色棉袜,6,衣服,100,,,,,,
人间之里供货,衣服,黑白格百褶裙,6,衣服,500,,,,,,
人间之里供货,衣服,过膝袜,6,衣服,300,,,,,,
人间之里供货,衣服,唐装,6,衣服,500,,,,,,
人间之里供货,衣服,汉服,6,衣服,500,,,,,,
人间之里供货,衣服,披风,6,武装装备,150,,,,,,
人间之里供货,衣服,斗篷,6,"农用装备,武装装备",250,,,,,,
人间之里供货,衣服,卫衣,6,衣服,400,,,,,,
人间之里供货,衣服,羽绒服,6,衣服,900,,,,,,
人间之里供货,衣服,冲锋衣,6,衣服,350,,,,,,
人间之里供货,衣服,秦心假面,6,"衣服,魔法道具",600,,,,,,
人间之里供货,衣服,白色浴衣,6,衣服,150,,,,,,
人间之里供货,衣服,小人套装,6,衣服,300,,,,,,
人间之里供货,衣服,丝绸和服,6,衣服,1000,,,,,,
人间之里供货,衣服,熊熊人套装,6,衣服,800,,,,,,
人间之里供货,衣服,T恤,6,衣服,120,,,,,,
人间之里供货,衣服,露脐水手服,6,衣服,700,,,,,,
人间之里供货,装备,顺手的木棍,7,武器,50,,,,,,
人间之里供货,装备,胁差,7,武器,1500,,,,,,
人间之里供货,装备,太刀,7,武器,2500,,,,,,
人间之里供货,装备,S刀,7,武器,3000,,,,,,
人间之里供货,装备,竹枪,7,武器,600,,,,,,
人间之里供货,装备,手里剑,7,武器,1000,,,,,,
人间之里供货,装备,逆刃刀,7,武器,2250,,,,,,
人间之里供货,装备,封魔针,7,"武器,魔法道具",1250,,,,,,
人间之里供货,装备,破魔弓,7,"武器,魔法道具",1750,,,,,,
人间之里供货,装备,阴阳玉,7,"武器,魔法道具",2000,,,,,,
人间之里供货,装备,人里匠工锁甲,7,武装装备,4000,,,,,,
人间之里供货,装备,圣白莲的镇魔经卷,7,魔法道具,10000,,,,,,
人间之里供货,药品,祛火茶,8,药品,300,,,,,,
人间之里供货,药品,止血草药,8,药品,500,,,,,,
人间之里供货,药品,静心清脑汤,8,药品,400,,,,,,
迷途竹林供货,农作物,竹笋,1,食材,100,,,,,,
迷途竹林供货,农作物,大青叶,1,食材,100,,,,,,
迷途竹林供货,农作物,山药,1,食材,150,,,,,,
迷途竹林供货,农作物,金银花,1,药材,150,,,,,,
迷途竹林供货,农作物,竹之花,1,药材,150,,,,,,
迷途竹林供货,农作物,五叶幸运草,1,药材,300,,,,,,
迷途竹林供货,农作物,茉莉花茶,1,药材,250,,,,,,
迷途竹林供货,农作物,蓬莱秘植甘蔗,1,食材,300,,,,,,
迷途竹林供货,农作物,雨后青笋,1,食材,250,,,,,,
迷途竹林供货,农作物,迷途者的不知名食物,1,食品,200,,,,,,
迷途竹林供货,农作物,无毒铃兰,1,药材,300,,,,,,
迷途竹林供货,农作物,诱音铃兰,1,药材,300,,,,,,
迷途竹林供货,农作物,指路草,1,药材,200,,,,,,
迷途竹林供货,原材料,实体月光,1,特殊材料,500,,,,,,
迷途竹林供货,衣服,因幡白衣,6,衣服,500,,,,,,
迷途竹林供货,衣服,丝绸华服,6,衣服,1500,,,,,,
迷途竹林供货,衣服,月都女款西服,6,"衣服,职业装束",2000,,,,,,
迷途竹林供货,衣服,月都优雅短裙,6,"衣服,职业装束",500,,,,,,
迷途竹林供货,衣服,医师白袍,6,"衣服,职业装束",1200,,,,,,
迷途竹林供货,装备,竹弓,7,武器,1600,,,,,,
红魔馆供货,农作物,妖精晨露,1,药材,150,,,,,,
红魔馆供货,农作物,深湖天然水,1,药材,100,,,,,,
红魔馆供货,农作物,红魔馆的紫罗兰,1,"药材,家用摆件",300,,,,,,
红魔馆供货,农作物,红魔馆的昙花,1,"药材,家用摆件",300,,,,,,
红魔馆供货,农作物,红魔馆的百合花,1,"药材,家用摆件",300,,,,,,
红魔馆供货,农作物,红魔馆的风信子,1,"药材,家用摆件",300,,,,,,
红魔馆供货,农作物,红魔馆的蓝玫瑰,1,"药材,家用摆件",300,,,,,,
红魔馆供货,农作物,红雾郁金香,1,"药材,家用摆件",300,,,,,,
